millis,stamp,datetime,accX,accY,accZ
63309, 1706974767, "2024/2/3 15:39:27",  18,  14,  1002
63559, 1706974768, "2024/2/3 15:39:28",  21,  22,  1005
63809, 1706974768, "2024/2/3 15:39:28",  17,  14,  1005
64059, 1706974768, "2024/2/3 15:39:28",  16,  16,  1005
64309, 1706974768, "2024/2/3 15:39:28",  23,  8,  1004
64559, 1706974769, "2024/2/3 15:39:29",  24,  20,  1000
64809, 1706974769, "2024/2/3 15:39:29",  29,  14,  1007
65059, 1706974769, "2024/2/3 15:39:29",  24,  18,  1004
65309, 1706974769, "2024/2/3 15:39:29",  20,  24,  1001
65559, 1706974770, "2024/2/3 15:39:30",  22,  22,  1003
65809, 1706974770, "2024/2/3 15:39:30",  21,  23,  1008
66059, 1706974770, "2024/2/3 15:39:30",  19,  24,  1005
66309, 1706974770, "2024/2/3 15:39:30",  13,  23,  1003
66560, 1706974771, "2024/2/3 15:39:31",  11,  22,  1003
66810, 1706974771, "2024/2/3 15:39:31",  22,  9,  1001
67060, 1706974771, "2024/2/3 15:39:31",  23,  6,  1006
67310, 1706974771, "2024/2/3 15:39:31",  20,  10,  1004
67560, 1706974772, "2024/2/3 15:39:32",  22,  10,  1004
67810, 1706974772, "2024/2/3 15:39:32",  21,  15,  1001
68060, 1706974772, "2024/2/3 15:39:32",  20,  18,  1002
68310, 1706974772, "2024/2/3 15:39:32",  7,  20,  1003
68560, 1706974773, "2024/2/3 15:39:33",  18,  16,  1000
68810, 1706974773, "2024/2/3 15:39:33",  21,  18,  1006
69060, 1706974773, "2024/2/3 15:39:33",  18,  18,  1007
69310, 1706974773, "2024/2/3 15:39:33",  19,  10,  1001
69560, 1706974774, "2024/2/3 15:39:34",  21,  13,  1009
69810, 1706974774, "2024/2/3 15:39:34",  17,  8,  1005
70060, 1706974774, "2024/2/3 15:39:34",  17,  12,  1004
70310, 1706974774, "2024/2/3 15:39:34",  18,  10,  1003
70560, 1706974775, "2024/2/3 15:39:35",  19,  18,  1002
70810, 1706974775, "2024/2/3 15:39:35",  19,  20,  1003
71060, 1706974775, "2024/2/3 15:39:35",  23,  21,  1004
71310, 1706974775, "2024/2/3 15:39:35",  17,  23,  1001
71560, 1706974776, "2024/2/3 15:39:36",  19,  23,  1005
71810, 1706974776, "2024/2/3 15:39:36",  18,  15,  1001
72060, 1706974776, "2024/2/3 15:39:36",  19,  10,  1005
72310, 1706974776, "2024/2/3 15:39:36",  21,  15,  1008
72560, 1706974777, "2024/2/3 15:39:37",  24,  8,  1006
72810, 1706974777, "2024/2/3 15:39:37",  14,  18,  1005
73060, 1706974777, "2024/2/3 15:39:37",  18,  7,  1007
73310, 1706974777, "2024/2/3 15:39:37",  13,  9,  1003
73560, 1706974778, "2024/2/3 15:39:38",  16,  15,  1003
73810, 1706974778, "2024/2/3 15:39:38",  17,  18,  1007
74060, 1706974778, "2024/2/3 15:39:38",  21,  23,  1003
74310, 1706974778, "2024/2/3 15:39:38",  17,  19,  1010
74560, 1706974779, "2024/2/3 15:39:39",  14,  22,  1007
74810, 1706974779, "2024/2/3 15:39:39",  17,  18,  1003
75060, 1706974779, "2024/2/3 15:39:39",  20,  17,  1008
75310, 1706974779, "2024/2/3 15:39:39",  20,  10,  1006
75560, 1706974780, "2024/2/3 15:39:40",  22,  9,  1003
